trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.2, 'e': 0.09999999999999924}",20,16,7.332491283017437,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.08999999999999925}",20,10,20.8537252422212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.07999999999999925}",25,14,21.89935033523694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.06999999999999926}",20,0,31.878730316788186,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.059999999999999255}",25,13,21.819221483040085,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.04999999999999925}",20,7,25.26214751921561,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.03999999999999925}",20,0,3.5219881838395084,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
97,False,"{'a': 0.2, 'e': 0.02999999999999925}",30,18,23.826142030125787,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.019999999999999248}",30,11,35.31551975548578,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.009999999999999247}",20,8,20.673524833443416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,15,27.50353229758914,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,31.128089058419725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,19.393254991388254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,12,22.872966797693874,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,19.595720338899522,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,10.36685178666689,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,18,22.35875939968033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,15,10.647969168359303,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,15.502485689441652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
